respondent_id,group,element,subelement,score,timestamp
SLT_1,SLT,Strategic Connection,Alignment with business strategy,5,2024-06-01T10:00:00Z
SLT_1,SLT,Strategic Connection,Leadership support for learning,5,2024-06-01T10:00:00Z
SLT_1,SLT,Strategic Connection,Future capability planning,5,2024-06-01T10:00:00Z
SLT_1,SLT,Strategic Connection,Business stakeholder input,5,2024-06-01T10:00:00Z
SLT_1,SLT,Needs Analysis,Prioritization by impact,4,2024-06-01T10:00:00Z
SLT_1,SLT,Needs Analysis,Data and discussion mix,5,2024-06-01T10:00:00Z
SLT_1,SLT,Needs Analysis,Ongoing analysis process,4,2024-06-01T10:00:00Z
SLT_1,SLT,Needs Analysis,Insights drive decisions,4,2024-06-01T10:00:00Z
SLT_1,SLT,Learning Design,Tailored to learner needs,4,2024-06-01T10:00:00Z
SLT_1,SLT,Learning Design,Content relevance and quality,4,2024-06-01T10:00:00Z
SLT_1,SLT,Learning Design,Engaging delivery formats,3,2024-06-01T10:00:00Z
SLT_1,SLT,Learning Design,Practical application,3,2024-06-01T10:00:00Z
SLT_1,SLT,Learning Culture,Psychological safety,1,2024-06-01T10:00:00Z
SLT_1,SLT,Learning Culture,Manager support for learning,2,2024-06-01T10:00:00Z
SLT_1,SLT,Learning Culture,Time/space for learning,2,2024-06-01T10:00:00Z
SLT_1,SLT,Learning Culture,Shared responsibility,3,2024-06-01T10:00:00Z
SLT_1,SLT,Platform and Tools,Ease of navigation,4,2024-06-01T10:00:00Z
SLT_1,SLT,Platform and Tools,Integration with daily work,4,2024-06-01T10:00:00Z
SLT_1,SLT,Platform and Tools,Insightful data usage,4,2024-06-01T10:00:00Z
SLT_1,SLT,Platform and Tools,"Modern, relevant tools",5,2024-06-01T10:00:00Z
SLT_1,SLT,Integration with Talent,Learning-to-career connection,3,2024-06-01T10:00:00Z
SLT_1,SLT,Integration with Talent,Performance-driven development,3,2024-06-01T10:00:00Z
SLT_1,SLT,Integration with Talent,Role in succession planning,2,2024-06-01T10:00:00Z
SLT_1,SLT,Integration with Talent,Integration with HR systems,1,2024-06-01T10:00:00Z
SLT_1,SLT,Learning Impact,Beyond attendance tracking,5,2024-06-01T10:00:00Z
SLT_1,SLT,Learning Impact,Connection to business metrics,5,2024-06-01T10:00:00Z
SLT_1,SLT,Learning Impact,Observed behavior change,5,2024-06-01T10:00:00Z
SLT_1,SLT,Learning Impact,Continuous feedback loop,5,2024-06-01T10:00:00Z
SLT_1,SLT,Future Capability,Future skill planning,4,2024-06-01T10:00:00Z
SLT_1,SLT,Future Capability,Trend-based strategy,3,2024-06-01T10:00:00Z
SLT_1,SLT,Future Capability,Supports growth mindset,4,2024-06-01T10:00:00Z
SLT_1,SLT,Future Capability,Capability roadmap,2,2024-06-01T10:00:00Z
SLT_2,SLT,Strategic Connection,Alignment with business strategy,5,2024-06-01T10:01:00Z
SLT_2,SLT,Strategic Connection,Leadership support for learning,5,2024-06-01T10:01:00Z
SLT_2,SLT,Strategic Connection,Future capability planning,4,2024-06-01T10:01:00Z
SLT_2,SLT,Strategic Connection,Business stakeholder input,5,2024-06-01T10:01:00Z
SLT_2,SLT,Needs Analysis,Prioritization by impact,5,2024-06-01T10:01:00Z
SLT_2,SLT,Needs Analysis,Data and discussion mix,4,2024-06-01T10:01:00Z
SLT_2,SLT,Needs Analysis,Ongoing analysis process,4,2024-06-01T10:01:00Z
SLT_2,SLT,Needs Analysis,Insights drive decisions,5,2024-06-01T10:01:00Z
